status,cleaned_line,reasons,record_ids_sample,raw_titles_sample
high_confidence,(M)Empire-home-center,org_term,15135,(M)Empire-home-center
high_confidence,1.com,domain,5582,1.com
high_confidence,100x100banco.com,domain,4728,100x100banco.com
high_confidence,1122.com,domain,11947,1122.com
high_confidence,1133.com,domain,11948,1133.com
high_confidence,1144.com,domain,11949,1144.com
high_confidence,123.com,domain,5663,123.com
high_confidence,12341.com,domain,11950,12341.com
high_confidence,1doc.sg,domain,13533,1doc.sg
high_confidence,1stsource.com,domain,7218,1stsource.com
high_confidence,The 21st Century Energy Group,org_term,12135,The 21st Century Energy Group
high_confidence,21stcenturyvitamins.com,domain,11373,21stcenturyvitamins.com
high_confidence,24/7 Express Logistics,org_term,7848;7920;8878;10589,24/7 Express Logistics (Unpay) || 24/7 Express Logistics (Unpay-Start Leaking) || 24/7 Express Logistics (Unpay-Full public) || 24/7 Express Logistics
high_confidence,2easy.co,domain,3016,http://2easy.co...
high_confidence,2easy.com.br,domain,3032,2easy.com.br
high_confidence,2K Dental,org_term,11696;11984,2K Dental || 2K Dental Data Leak
high_confidence,2plan.com,domain,7180,2plan.com
high_confidence,3-D Engineering,org_term,8522,3-D Engineering
high_confidence,3-D Engineering/ 3-D Precision Machine,org_term,8526,3-D Engineering/ 3-D Precision Machine
high_confidence,310tempering.com,domain,15141,www.310tempering.com
high_confidence,316fiduciaries.com,domain,7382,316fiduciaries.com
high_confidence,33M Bank Mellat – Iran,org_term,128,33M Bank Mellat – Iran
high_confidence,365labs - Security Corp,legal_suffix,15415,365labs - Security Corp
high_confidence,3GL Technology Solutions,org_term,11682,3GL Technology Solutions
high_confidence,3P Corporation,legal_suffix,15734,3P Corporation
high_confidence,3S Standard Sharing Software,org_term,2483,3S Standard Sharing Software
high_confidence,3V Sigma,proper_short,1886,3V Sigma
high_confidence,4B Components,proper_short,13162,4B Components
high_confidence,"4LEAF, Inc",legal_suffix,5917,"4LEAF, Inc"
high_confidence,4Motive,proper_short,16000,4Motive
high_confidence,4murs.com,domain,589,4murs.com
high_confidence,51talk.com,domain,856;15558,51talk.com || 51talk.com
high_confidence,5design.net,domain,5601,http://5design.net
high_confidence,7G Distributing,proper_short,5782,7G Distributing
high_confidence,7generations.org,domain,2898,7generations.org
high_confidence,7x7oralsurgery.com,domain,5570,7x7oralsurgery.com
high_confidence,8010urbanliving.com,domain,13039,www.8010urbanliving.com
high_confidence,888VOIP.COM,domain,3132,888VOIP.COM
high_confidence,8x8.com,domain,4396,8x8.com
high_confidence,9fsfalcons.org,domain,14581,9fsfalcons.org
high_confidence,A&O IT Group,org_term,13909,A&O IT Group
high_confidence,A&T group of companies,org_term,5287,A&T group of companies
high_confidence,a-g.com,domain,12099,https://www.a-g.com/
high_confidence,A-Line Staffing Solutions,org_term,11723,A-Line Staffing Solutions
high_confidence,a-r-s.com,domain,2627,a-r-s.com
high_confidence,A.J. Rose,proper_short,2279,A.J. Rose
high_confidence,a1mobilelock.com,domain,13948,a1mobilelock.com
high_confidence,a1ssi.com,domain,1436,a1ssi.com
high_confidence,a24group.com | ambition24hours.co.za,domain,10666;10666,a24group.com  ambition24hours.co.za || a24group.com  ambition24hours.co.za
high_confidence,A2b-cargo.com,domain,15014,A2b-cargo.com
high_confidence,aa.com,domain,7562,aa.com
high_confidence,aaaenergy.com,domain,5281,https://www.aaaenergy.com
high_confidence,aaanchorbolt.com,domain,4106,aaanchorbolt.com
high_confidence,aaconsultinc.com,domain,12634,www.aaconsultinc.com
high_confidence,Aapd,proper_short,7109,Aapd
high_confidence,Aaren Scientific,proper_short,13367;13422,Aaren Scientific || Aaren Scientific
high_confidence,Aareon Nederland B.V,legal_suffix,2103,Aareon Nederland B.V.
high_confidence,Aarti Drugs Ltd,legal_suffix,3935,Aarti Drugs Ltd
high_confidence,Aarti Industries Ltd,legal_suffix,6417,Aarti Industries Ltd.
high_confidence,AB Karl Hedin,legal_suffix,2537,AB Karl Hedin
high_confidence,ABA Research,org_term,7264,ABA Research - Business Information 2
high_confidence,abag-sroc.pt,domain,14451,http://www.abag-sroc.pt
high_confidence,Aban Tether & OK exchange,proper_short,7742,Aban Tether & OK exchange
high_confidence,Abatti Companies,proper_short,7136,Abatti Companies - Press Release
high_confidence,Abbeyfield,proper_short,7933,Abbeyfield
high_confidence,abbvie.com,domain,7386,abbvie.com
high_confidence,ABC Group,org_term,14177,ABC Group
high_confidence,ABC Parts International,org_term,12804,ABC Parts International
high_confidence,ABC Seamless,proper_short,1670,ABC Seamless
high_confidence,abcapital.com.ph,domain,15053,abcapital.com.ph
high_confidence,abcor.com.au,domain,10204,abcor.com.au
high_confidence,abcp.or,domain,2286,abcp.or
high_confidence,abcp.org.br,domain,852,abcp.org.br
high_confidence,Abdi ibrahim,proper_short,1903,Abdi ibrahim
high_confidence,abe-brands.de,domain,6174,abe-brands.de
high_confidence,abecho.co.jp,domain,759,abecho.co.jp
high_confidence,Abeko,proper_short,6422,Abeko
high_confidence,Abelsantosyasoc.com.ar,domain,10239,www.Abelsantosyasoc.com.ar
high_confidence,aberdeenwa.gov,domain,13938,aberdeenwa.gov
high_confidence,abhmfg.com,domain,8681,abhmfg.com
